Day,Dept,Section,Time,Teacher,Course,Room
Sun,CSE,CSE 4A,8:30-9:20,ZT,EEE 280,"EEE Lab
ALT"
Sun,CSE,CSE 4A,9:25-10:15,ZT,EEE 280,"EEE Lab
ALT"
Sun,CSE,CSE 4A,10:20-11:10,ZT,EEE 280,"EEE Lab
ALT"
Sun,CSE,CSE 4A,11:40-12:30,ABA,CSE-213,302
Sun,CSE,CSE 4A,12:35-1:25,ABA,CSE-213,302
Sun,CSE,CSE 4A,1:40-2:30,SNH,CSE 219,302
Sun,CSE,CSE 3A,8:30-9:20,NR,EEE 270,"EEE Lab
ALT"
Sun,CSE,CSE 3A,9:25-10:15,NR,EEE 270,"EEE Lab
ALT"
Sun,CSE,CSE 3A,10:20-11:10,NR,EEE 270,"EEE Lab
ALT"
Sun,CSE,CSE 3A,11:40-12:30,BCG,EEE 269,303
Sun,CSE,CSE 3A,12:35-1:25,SNH,CSE 205,303
Sun,CSE,CSE 3A,1:40-2:30,ABA,CSE 217,303
Sun,CSE,CSE 2A,8:30-9:20,SMA,"LANG
102",404
Sun,CSE,CSE 2A,9:25-10:15,SMA,LANG 102,402
Sun,CSE,CSE 2A,10:20-11:10,SMA,"LANG
102",402
Sun,CSE,CSE 2A,11:40-12:30,MMHK,CSE 105,402
Sun,CSE,CSE 2A,12:35-1:25,MMHK,CSE 105,402
Sun,CSE,CSE 2A,1:40-2:30,AR,CSE-103,402
Sun,CSE,"CSE 1A
(Even)",8:30-9:20,SNH,CSE 101,303
Sun,CSE,"CSE 1A
(Even)",9:25-10:15,MWU,MATH 101,303
Sun,CSE,"CSE 1A
(Even)",11:40-12:30,ZT,EEE 164,"EEE Lab
ALT"
Sun,CSE,"CSE 1A
(Even)",12:35-1:25,ZT,EEE 164,"EEE Lab
ALT"
Sun,CSE,"CSE 1A
(Even)",1:40-2:30,ZT,EEE 164,"EEE Lab
ALT"
Sun,CSE,"CSE 1A
(Odd)",11:40-12:30,NR,EEE 164,"EEE Lab
ALT"
Sun,CSE,"CSE 1A
(Odd)",12:35-1:25,NR,EEE 164,"EEE Lab
ALT"
Sun,CSE,"CSE 1A
(Odd)",1:40-2:30,NR,EEE 164,"EEE Lab
ALT"
Sun,EEE,EEE 3A,8:30-9:20,MAR,GEE-201,403
Sun,EEE,EEE 3A,10:20-11:10,PM,ME-283,403
Sun,EEE,EEE 3A,11:40-12:30,AH,ME-284,Thermo lab
Sun,EEE,EEE 3A,12:35-1:25,AH,ME-284,Thermo lab
Sun,EEE,EEE 3A,1:40-2:30,AH,ME-284,Thermo lab
Sun,EEE,EEE 2A,8:30-9:20,SMA,"LANG-
102",404
Sun,EEE,EEE 2A,9:25-10:15,SMA,LANG-102,402
Sun,EEE,EEE 2A,10:20-11:10,SMA,"LANG-
102",402
Sun,EEE,EEE 2A,11:40-12:30,MMBS,CSE-110,CSE lab 2
Sun,EEE,EEE 2A,12:35-1:25,MMBS,CSE-110,CSE lab 2
Sun,EEE,EEE 2A,1:40-2:30,MMBS,CSE-110,CSE lab 2
Sun,EEE,EEE 1A,8:30-9:20,MWU,"MATH-
101",402
Sun,EEE,EEE 1A,9:25-10:15,SSI,Phy-101,404
Sun,EEE,EEE 1A,10:20-11:10,TH,Chem-101,404
Sun,EEE,EEE 1A,11:40-12:30,SSI,PHY-102,Phy LAB
Sun,EEE,EEE 1A,12:35-1:25,SSI,PHY-102,Phy LAB
Sun,EEE,EEE 1A,1:40-2:30,SSI,PHY-102,Phy LAB
Sun,CE,CE 3A,8:30-9:20,NRK,CE 203,301
Sun,CE,CE 3A,9:25-10:15,PK,"MATH
201",401
Sun,CE,CE 3A,10:20-11:10,HR,GEE 201,306
Sun,CE,CE 3A,11:40-12:30,MSH,CE 211,301
Sun,CE,CE 3A,12:35-1:25,RHS,CE 261,301
Sun,CE,CE 2A,9:25-10:15,TH,"CHEM
105",306
Sun,CE,CE 2A,11:40-12:30,PK,"MATH
103",304
Sun,CE,CE 2A,12:35-1:25,PK,MATH 103,304
Sun,CE,CE 2A,1:40-2:30,TH,CHEM 105,301
Sun,CE,CE 1A,8:30-9:20,MWU,"MATH
101",402
Sun,CE,CE 1A,10:20-11:10,SSI,PHY 101,304
Sun,CE,CE 1A,11:40-12:30,PM,ME-132,"WORKSHO
P"
Sun,CE,CE 1A,12:35-1:25,PM,ME-132,"WORKSHO
P"
Sun,CE,CE 1A,1:40-2:30,PM,ME-132,"WORKSHO
P"
Sun,ME,ME 3A,8:30-9:20,MH/PM,ME 247,401
Sun,ME,ME 3A,9:25-10:15,PK,"MATH
201",401
Sun,ME,ME 3A,10:20-11:10,KAH,ME 205,401
Sun,ME,ME 3A,11:40-12:30,MMBS,CSE-276,CSE Lab 1
Sun,ME,ME 3A,12:35-1:25,MMBS,CSE-276,CSE Lab 1
Sun,ME,ME 3A,1:40-2:30,MMBS,CSE-276,CSE Lab 1
Sun,ME,ME 2A,8:30-9:20,AH,ME 194,Meta Lab
Sun,ME,ME 2A,9:25-10:15,AH,ME 194,Meta Lab
Sun,ME,ME 2A,10:20-11:10,AH,ME 194,Meta Lab
Sun,ME,ME 2A,11:40-12:30,PK,"MATH
103",304
Sun,ME,ME 2A,12:35-1:25,PK,MATH 103,304
Sun,ME,ME 2A,1:40-2:30,AUK,EEE 173,304
Sun,ME,ME-1A,8:30-9:20,MWU,"MATH
101",402
Sun,ME,ME-1A,9:25-10:15,MH/UP,ME103,304
Sun,ME,ME-1A,10:20-11:10,SSI,PHY101,304
Sun,ME,ME-1A,11:40-12:30,PM+UK,ME-162,WORKSHOP
Sun,ME,ME-1A,12:35-1:25,PM+UK,ME-162,WORKSHOP
Sun,ME,ME-1A,1:40-2:30,PM+UK,ME-162,WORKSHOP
Sun,ENG,ENG 1A,8:30-9:20,DMO,ENG 1107,CSE L2
Sun,ENG,ENG 1A,9:25-10:15,DMO,ENG 1107,CSE L2
Sun,ENG,ENG 1A,10:20-11:10,DMO,ENG 1107,CSE L2
Sun,ENG,ENG 1A,11:40-12:30,DMO,ENG 1101,403
Sun,ENG,ENG 1A,12:35-1:25,SSI,GED 1105,403
Sun,DBA,DBA 1A,8:30-9:20,JA,BBA- 1101,R-304
Sun,DBA,DBA 1A,9:25-10:15,SHG,BBA-1104,R-304
Sun,DBA,DBA 1A,10:20-11:10,SHG,BBA- 1103,R-304
Sun,DBA,DBA 1A,11:40-12:30,MWU,BBA-1102,R-404
